[ROE Anomaly] ABB Year Dec 2012: Computed 22.41% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2014: Computed 25.13% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2015: Computed 24.44% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2016: Computed 21.34% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2017: Computed 19.97% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2018: Computed 23.69% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2019: Computed 22.41% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2020: Computed 24.39% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2021: Computed 26.56% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2022: Computed 28.33% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ABB Year Mar 2023: Computed 29.77% vs Reported 34.9% | Category: Source discrepancy
[ROE Anomaly] ADANIENSOL Year Mar 2015: Computed -0.65% vs Reported 8.59% | Category: Source discrepancy
[ROE Anomaly] ADANIENSOL Year Mar 2016: Computed 13.77% vs Reported 8.59% | Category: Source discrepancy
[ROE Anomaly] ADANIENSOL Year Mar 2017: Computed 14.12% vs Reported 8.59% | Category: Source discrepancy
[ROE Anomaly] ADANIENSOL Year Mar 2018: Computed 18.87% vs Reported 8.59% | Category: Source discrepancy
[ROE Anomaly] ADANIENSOL Year Mar 2021: Computed 14.46% vs Reported 8.59% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2013: Computed 5.69% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2016: Computed 7.47% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2017: Computed 6.54% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2018: Computed 3.94% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2019: Computed 3.43% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2020: Computed 6.14% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2021: Computed 6.10% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2022: Computed 3.54% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2023: Computed 7.33% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIENT Year Mar 2024: Computed 8.53% vs Reported 13.64% | Category: Source discrepancy
[ROE Anomaly] ADANIGREEN Year Mar 2017: Computed -3.91% vs Reported 14.7% | Category: Source discrepancy
[ROE Anomaly] ADANIGREEN Year Mar 2018: Computed -10.29% vs Reported 14.7% | Category: Source discrepancy
[ROE Anomaly] ADANIGREEN Year Mar 2019: Computed -24.57% vs Reported 14.7% | Category: Source discrepancy
[ROE Anomaly] ADANIGREEN Year Mar 2020: Computed -2.89% vs Reported 14.7% | Category: Source discrepancy
[ROE Anomaly] ADANIGREEN Year Mar 2021: Computed 8.27% vs Reported 14.7% | Category: Source discrepancy
[ROE Anomaly] ADANIPORTS Year Mar 2013: Computed 25.63% vs Reported 18.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPORTS Year Mar 2022: Computed 11.84% vs Reported 18.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPORTS Year Mar 2023: Computed 11.88% vs Reported 18.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2013: Computed -53.46% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2014: Computed -4.45% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2015: Computed -14.25% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2016: Computed 7.38% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2017: Computed -205.80% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2018: Computed -236.56% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2019: Computed -12.76% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2020: Computed -35.10% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2021: Computed 9.69% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2022: Computed 26.61% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2023: Computed 35.91% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] ADANIPOWER Year Mar 2024: Computed 48.28% vs Reported 57.1% | Category: Source discrepancy
[ROE Anomaly] AMBUJACEM Year Dec 2012: Computed 14.69% vs Reported 9.24% | Category: Source discrepancy
[ROE Anomaly] AMBUJACEM Year Dec 2014: Computed 14.77% vs Reported 9.24% | Category: Source discrepancy
[ROE Anomaly] AMBUJACEM Year Dec 2021: Computed 14.64% vs Reported 9.24% | Category: Source discrepancy
[ROE Anomaly] APOLLOHOSP Year Mar 2016: Computed 7.05% vs Reported 13.81% | Category: Source discrepancy
[ROE Anomaly] APOLLOHOSP Year Mar 2017: Computed 3.95% vs Reported 13.81% | Category: Source discrepancy
[ROE Anomaly] APOLLOHOSP Year Mar 2018: Computed 1.85% vs Reported 13.81% | Category: Source discrepancy
[ROE Anomaly] APOLLOHOSP Year Mar 2019: Computed 6.00% vs Reported 13.81% | Category: Source discrepancy
