company_id,metric_type,period_years,value_pct
COMP001,compounded_sales_growth,10,15.5
COMP001,compounded_sales_growth,5,18.2
COMP001,compounded_profit_growth,10,21.0
COMP001,compounded_profit_growth,5,19.4
COMP001,stock_price_cagr,3,25.0
COMP001,roe,5,22.5
COMP002,compounded_sales_growth,10,15.5
COMP002,compounded_sales_growth,5,18.2
COMP002,compounded_profit_growth,10,21.0
COMP002,compounded_profit_growth,5,19.4
COMP002,stock_price_cagr,3,25.0
COMP002,roe,5,22.5
COMP003,compounded_sales_growth,10,15.5
COMP003,compounded_sales_growth,5,18.2
COMP003,compounded_profit_growth,10,21.0
COMP003,compounded_profit_growth,5,19.4
COMP003,stock_price_cagr,3,25.0
COMP003,roe,5,22.5
COMP004,compounded_sales_growth,10,15.5
COMP004,compounded_sales_growth,5,18.2
COMP004,compounded_profit_growth,10,21.0
COMP004,compounded_profit_growth,5,19.4
COMP004,stock_price_cagr,3,25.0
COMP004,roe,5,22.5
COMP005,compounded_sales_growth,10,15.5
COMP005,compounded_sales_growth,5,18.2
COMP005,compounded_profit_growth,10,21.0
COMP005,compounded_profit_growth,5,19.4
COMP005,stock_price_cagr,3,25.0
COMP005,roe,5,22.5
COMP006,compounded_sales_growth,10,15.5
COMP006,compounded_sales_growth,5,18.2
COMP006,compounded_profit_growth,10,21.0
COMP006,compounded_profit_growth,5,19.4
COMP006,stock_price_cagr,3,25.0
COMP006,roe,5,22.5
COMP007,compounded_sales_growth,10,15.5
COMP007,compounded_sales_growth,5,18.2
COMP007,compounded_profit_growth,10,21.0
COMP007,compounded_profit_growth,5,19.4
COMP007,stock_price_cagr,3,25.0
COMP007,roe,5,22.5
COMP008,compounded_sales_growth,10,15.5
COMP008,compounded_sales_growth,5,18.2
COMP008,compounded_profit_growth,10,21.0
COMP008,compounded_profit_growth,5,19.4
COMP008,stock_price_cagr,3,25.0
COMP008,roe,5,22.5
COMP009,compounded_sales_growth,10,15.5
COMP009,compounded_sales_growth,5,18.2
COMP009,compounded_profit_growth,10,21.0
COMP009,compounded_profit_growth,5,19.4
COMP009,stock_price_cagr,3,25.0
COMP009,roe,5,22.5
COMP010,compounded_sales_growth,10,15.5
COMP010,compounded_sales_growth,5,18.2
COMP010,compounded_profit_growth,10,21.0
COMP010,compounded_profit_growth,5,19.4
COMP010,stock_price_cagr,3,25.0
COMP010,roe,5,22.5
COMP011,compounded_sales_growth,10,15.5
COMP011,compounded_sales_growth,5,18.2
COMP011,compounded_profit_growth,10,21.0
COMP011,compounded_profit_growth,5,19.4
COMP011,stock_price_cagr,3,25.0
COMP011,roe,5,22.5
COMP012,compounded_sales_growth,10,15.5
COMP012,compounded_sales_growth,5,18.2
COMP012,compounded_profit_growth,10,21.0
COMP012,compounded_profit_growth,5,19.4
COMP012,stock_price_cagr,3,25.0
COMP012,roe,5,22.5
COMP013,compounded_sales_growth,10,15.5
COMP013,compounded_sales_growth,5,18.2
COMP013,compounded_profit_growth,10,21.0
COMP013,compounded_profit_growth,5,19.4
COMP013,stock_price_cagr,3,25.0
COMP013,roe,5,22.5
COMP014,compounded_sales_growth,10,15.5
COMP014,compounded_sales_growth,5,18.2
COMP014,compounded_profit_growth,10,21.0
COMP014,compounded_profit_growth,5,19.4
COMP014,stock_price_cagr,3,25.0
COMP014,roe,5,22.5
COMP015,compounded_sales_growth,10,15.5
COMP015,compounded_sales_growth,5,18.2
COMP015,compounded_profit_growth,10,21.0
COMP015,compounded_profit_growth,5,19.4
COMP015,stock_price_cagr,3,25.0
COMP015,roe,5,22.5
COMP016,compounded_sales_growth,10,15.5
COMP016,compounded_sales_growth,5,18.2
COMP016,compounded_profit_growth,10,21.0
COMP016,compounded_profit_growth,5,19.4
COMP016,stock_price_cagr,3,25.0
COMP016,roe,5,22.5
COMP017,compounded_sales_growth,10,15.5
COMP017,compounded_sales_growth,5,18.2
COMP017,compounded_profit_growth,10,21.0
COMP017,compounded_profit_growth,5,19.4
COMP017,stock_price_cagr,3,25.0
COMP017,roe,5,22.5
COMP018,compounded_sales_growth,10,15.5
COMP018,compounded_sales_growth,5,18.2
COMP018,compounded_profit_growth,10,21.0
COMP018,compounded_profit_growth,5,19.4
COMP018,stock_price_cagr,3,25.0
COMP018,roe,5,22.5
COMP019,compounded_sales_growth,10,15.5
COMP019,compounded_sales_growth,5,18.2
COMP019,compounded_profit_growth,10,21.0
COMP019,compounded_profit_growth,5,19.4
COMP019,stock_price_cagr,3,25.0
COMP019,roe,5,22.5
COMP020,compounded_sales_growth,10,15.5
COMP020,compounded_sales_growth,5,18.2
COMP020,compounded_profit_growth,10,21.0
COMP020,compounded_profit_growth,5,19.4
COMP020,stock_price_cagr,3,25.0
COMP020,roe,5,22.5
COMP021,compounded_sales_growth,10,15.5
COMP021,compounded_sales_growth,5,18.2
COMP021,compounded_profit_growth,10,21.0
COMP021,compounded_profit_growth,5,19.4
COMP021,stock_price_cagr,3,25.0
COMP021,roe,5,22.5
COMP022,compounded_sales_growth,10,15.5
COMP022,compounded_sales_growth,5,18.2
COMP022,compounded_profit_growth,10,21.0
COMP022,compounded_profit_growth,5,19.4
COMP022,stock_price_cagr,3,25.0
COMP022,roe,5,22.5
COMP023,compounded_sales_growth,10,15.5
COMP023,compounded_sales_growth,5,18.2
COMP023,compounded_profit_growth,10,21.0
COMP023,compounded_profit_growth,5,19.4
COMP023,stock_price_cagr,3,25.0
COMP023,roe,5,22.5
COMP024,compounded_sales_growth,10,15.5
COMP024,compounded_sales_growth,5,18.2
COMP024,compounded_profit_growth,10,21.0
COMP024,compounded_profit_growth,5,19.4
COMP024,stock_price_cagr,3,25.0
COMP024,roe,5,22.5
COMP025,compounded_sales_growth,10,15.5
COMP025,compounded_sales_growth,5,18.2
COMP025,compounded_profit_growth,10,21.0
COMP025,compounded_profit_growth,5,19.4
COMP025,stock_price_cagr,3,25.0
COMP025,roe,5,22.5
COMP026,compounded_sales_growth,10,15.5
COMP026,compounded_sales_growth,5,18.2
COMP026,compounded_profit_growth,10,21.0
COMP026,compounded_profit_growth,5,19.4
COMP026,stock_price_cagr,3,25.0
COMP026,roe,5,22.5
COMP027,compounded_sales_growth,10,15.5
COMP027,compounded_sales_growth,5,18.2
COMP027,compounded_profit_growth,10,21.0
COMP027,compounded_profit_growth,5,19.4
COMP027,stock_price_cagr,3,25.0
COMP027,roe,5,22.5
COMP028,compounded_sales_growth,10,15.5
COMP028,compounded_sales_growth,5,18.2
COMP028,compounded_profit_growth,10,21.0
COMP028,compounded_profit_growth,5,19.4
COMP028,stock_price_cagr,3,25.0
COMP028,roe,5,22.5
COMP029,compounded_sales_growth,10,15.5
COMP029,compounded_sales_growth,5,18.2
COMP029,compounded_profit_growth,10,21.0
COMP029,compounded_profit_growth,5,19.4
COMP029,stock_price_cagr,3,25.0
COMP029,roe,5,22.5
COMP030,compounded_sales_growth,10,15.5
COMP030,compounded_sales_growth,5,18.2
COMP030,compounded_profit_growth,10,21.0
COMP030,compounded_profit_growth,5,19.4
COMP030,stock_price_cagr,3,25.0
COMP030,roe,5,22.5
COMP031,compounded_sales_growth,10,15.5
COMP031,compounded_sales_growth,5,18.2
