company_id,metric_type,period_years,value_pct,computed_cagr_pct,divergence_pct
COMP001,compounded_sales_growth,5,18.2,19.512480060265673,6.7263620832000175
COMP001,stock_price_cagr,3,25.0,23.62407456176975,5.824251166464216
COMP001,roe,5,22.5,21.26158027321033,5.824683353147001
COMP002,compounded_sales_growth,10,15.5,14.404047358177134,7.608643699721637
COMP002,compounded_sales_growth,5,18.2,19.26630493649661,5.534558598606443
COMP002,stock_price_cagr,3,25.0,23.08233797718321,8.307919348171701
COMP002,roe,5,22.5,24.191675467783185,6.99279994077319
COMP003,compounded_sales_growth,10,15.5,16.324457749185047,5.050444932703543
COMP003,compounded_profit_growth,10,21.0,19.93093188981586,5.363864148923233
COMP003,compounded_profit_growth,5,19.4,18.41728759858506,5.335815038748911
COMP004,compounded_profit_growth,5,19.4,18.280988943463935,6.121173531676726
COMP005,compounded_profit_growth,10,21.0,19.99090390805209,5.047776211567196
COMP005,roe,5,22.5,20.867221485791994,7.824609113962426
COMP006,compounded_sales_growth,5,18.2,17.24056624817739,5.564978191618481
COMP006,compounded_profit_growth,10,21.0,19.53857335243054,7.4796998798669385
COMP006,compounded_profit_growth,5,19.4,20.793340707634346,6.700898750352212
COMP006,stock_price_cagr,3,25.0,26.86252813229824,6.933554887779995
COMP007,compounded_sales_growth,5,18.2,17.028421195986592,6.880137568417295
COMP007,stock_price_cagr,3,25.0,23.488152939379116,6.436636650497082
COMP008,compounded_sales_growth,10,15.5,14.345283532365741,8.049450295137037
COMP008,compounded_sales_growth,5,18.2,19.39194101085341,6.146579190738559
COMP009,compounded_sales_growth,5,18.2,17.282296174490334,5.310080421282499
COMP009,compounded_profit_growth,10,21.0,22.577804349288918,6.988298440714456
COMP009,stock_price_cagr,3,25.0,26.75799576625676,6.569982974859738
COMP009,roe,5,22.5,23.92137846153954,5.9418752302456666
COMP010,compounded_sales_growth,5,18.2,19.428497772387317,6.323174271009854
COMP010,compounded_profit_growth,10,21.0,19.617334806894448,7.048180635728453
COMP010,compounded_profit_growth,5,19.4,18.456330804949026,5.1129837508001845
COMP010,stock_price_cagr,3,25.0,23.180909155642155,7.847366262229126
COMP012,compounded_sales_growth,10,15.5,14.60949207793741,6.095406447479402
COMP012,compounded_profit_growth,10,21.0,19.57049016276403,7.3044150930661855
COMP012,compounded_profit_growth,5,19.4,20.911297051208006,7.227179870799562
COMP012,roe,5,22.5,21.41537645352302,5.064695214818647
COMP013,compounded_sales_growth,10,15.5,14.273694850466535,8.59136448116924
COMP013,roe,5,22.5,20.966560746242727,7.313737681236393
COMP014,compounded_sales_growth,5,18.2,17.081410701337177,6.5485768021212465
COMP014,compounded_profit_growth,10,21.0,22.220027510941996,5.490666068443019
COMP014,roe,5,22.5,20.928810061029687,7.507306599795344
COMP015,stock_price_cagr,3,25.0,26.54885097030531,5.833966117922346
COMP016,compounded_sales_growth,10,15.5,14.55659372992699,6.480954868812859
COMP017,compounded_profit_growth,10,21.0,19.40540826586016,8.217254243216296
COMP017,compounded_profit_growth,5,19.4,18.182894989387215,6.6936811290125675
COMP017,stock_price_cagr,3,25.0,23.12571674274694,8.104757478882918
COMP018,compounded_profit_growth,10,21.0,22.369423352391674,6.121853616066771
COMP019,compounded_sales_growth,5,18.2,16.968165497421445,7.259679915107788
COMP019,compounded_profit_growth,5,19.4,18.348430875636428,5.7311120034785885
COMP019,stock_price_cagr,3,25.0,26.71879060937029,6.432890749057747
COMP020,compounded_sales_growth,5,18.2,19.281693238626634,5.60994942321611
COMP020,compounded_profit_growth,5,19.4,18.427113462782255,5.279646967945949
COMP020,stock_price_cagr,3,25.0,26.570235993959912,5.9097555411885185
COMP021,compounded_sales_growth,5,18.2,19.353417865377214,5.959763145716243
COMP021,compounded_profit_growth,5,19.4,18.18960117373391,6.654345055206193
COMP022,compounded_sales_growth,5,18.2,19.250447458442473,5.456743074207293
COMP022,compounded_profit_growth,10,21.0,19.3433591585848,8.564390640908739
COMP023,compounded_sales_growth,10,15.5,14.557266110987534,6.476036652932443
COMP023,compounded_profit_growth,10,21.0,22.488176605146066,6.617595687173321
COMP024,compounded_sales_growth,5,18.2,19.57382942488344,7.018705410485207
COMP024,compounded_profit_growth,10,21.0,22.553822911005494,6.889399270077984
COMP025,compounded_sales_growth,5,18.2,16.8514147906964,8.00280110633885
COMP025,stock_price_cagr,3,25.0,23.20591500499996,7.7311538657858865
COMP026,compounded_sales_growth,10,15.5,16.5124993971973,6.13171496841449
COMP026,compounded_profit_growth,10,21.0,19.80684677022651,6.0239433546132535
COMP026,stock_price_cagr,3,25.0,26.9426018164424,7.210149300639851
COMP028,compounded_profit_growth,10,21.0,19.62337362738281,7.0152380460015245
COMP028,compounded_profit_growth,5,19.4,20.440778946308996,5.09167947583001
COMP028,roe,5,22.5,21.371466637439475,5.280561141197068
COMP029,compounded_sales_growth,10,15.5,14.361122351055814,7.930283031537972
COMP029,compounded_profit_growth,5,19.4,17.899488620992063,8.382984624757237
COMP030,compounded_sales_growth,5,18.2,17.251755041262534,5.496513000964046
COMP030,stock_price_cagr,3,25.0,26.74691995494694,6.53129391305424
COMP030,roe,5,22.5,21.195075398925578,6.156734885409143
COMP031,compounded_sales_growth,5,18.2,17.074434893852594,6.592107517143359
COMP031,compounded_profit_growth,10,21.0,22.42697055741597,6.362743259339193
COMP031,compounded_profit_growth,5,19.4,20.571261352894567,5.693677858648958
COMP032,stock_price_cagr,3,25.0,23.3724110712236,6.963718564664082
COMP032,roe,5,22.5,23.929976728631978,5.975671204565047
COMP033,compounded_sales_growth,10,15.5,16.49303678176506,6.02094565667237
COMP033,roe,5,22.5,23.92959693582928,5.974178920200597
COMP034,compounded_sales_growth,10,15.5,16.45997433217749,5.832173931771232
COMP034,compounded_profit_growth,5,19.4,18.10917045134463,7.12804350769983
COMP034,stock_price_cagr,3,25.0,23.646514856378456,5.723825061926419
